,text,term,polarity
0,But the staff was so horrible to us.,staff,-1
1,"To be completely fair, the only redeeming factor was the food, which was above average, but couldn't make up for all the other deficiencies of Teodora.",food,1
2,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",food,1
3,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",kitchen,1
4,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",menu,0
5,"Not only was the food outstanding, but the little 'perks' were great.",food,1
6,"Not only was the food outstanding, but the little 'perks' were great.",perks,1
7,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,orrechiete with sausage and chicken,1
8,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,waiters,1
9,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,meats,0
10,Our agreed favorite is the orrechiete with sausage and chicken (usually the waiters are kind enough to split the dish in half so you get to sample both meats).,dish,0
11,"The Bagels have an outstanding taste with a terrific texture, both chewy yet not gummy.",Bagels,1
12,Nevertheless the food itself is pretty good.,food,1
13,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",toast,-1
14,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",mayonnaise,-1
15,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",bacon,-1
16,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",cheese,0
17,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",ingredients,-1
18,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",plate,0
19,"They did not have mayonnaise, forgot our toast, left out ingredients (ie cheese in an omelet), below hot temperatures and the bacon was so over cooked it crumbled on the plate when you touched it.",omelet,0
20,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",drinks,0
21,"It took half an hour to get our check, which was perfect since we could sit, have drinks and talk!",check,0
22,The design and atmosphere is just as good.,design,1
23,The design and atmosphere is just as good.,atmosphere,1
24,He has visited Thailand and is quite expert on the cuisine.,cuisine,1
25,The pizza is the best if you like thin crusted pizza.,pizza,1
26,The pizza is the best if you like thin crusted pizza.,thin crusted pizza,0
27,"All the money went into the interior decoration, none of it went to the chefs.",interior decoration,1
28,"All the money went into the interior decoration, none of it went to the chefs.",chefs,-1
29,The seats are uncomfortable if you are sitting against the wall on wooden benches.,seats,-1
30,"I asked for seltzer with lime, no ice.",seltzer with lime,0
31,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",pickles,1
32,"Don't go alone---even two people isn't enough for the whole experience, with pickles and a selection of meats and seafoods.",selection of meats and seafoods,1
33,My suggestion is to eat family style because you'll want to try the other dishes.,dishes,0
34,My suggestion is to eat family style because you'll want to try the other dishes.,eat family style,1
35,"Best of all is the warm vibe, the owner is super friendly and service is fast.",vibe,1
36,"Best of all is the warm vibe, the owner is super friendly and service is fast.",owner,1
37,"Best of all is the warm vibe, the owner is super friendly and service is fast.",service,1
38,Faan's got a great concept but a little rough on the delivery.,delivery,-1
39,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",food,1
40,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",atmosphere,1
41,"From the incredible food, to the warm atmosphere, to the friendly service, this downtown neighborhood spot doesn't miss a beat.",service,1
42,"Great food at REASONABLE prices, makes for an evening that can't be beat!",food,1
43,"Great food at REASONABLE prices, makes for an evening that can't be beat!",prices,1
44,this little place has a cute interior decor and affordable city prices.,interior decor,1
45,this little place has a cute interior decor and affordable city prices.,prices,1
46,Two words: Free wine.,wine,1
47,The price is reasonable although the service is poor.,price,1
48,The price is reasonable although the service is poor.,service,-1
49,"The quantity is also very good, you will come out satisfied.",quantity,1
50,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi,0
51,"I stumbled upon this second floor walk-up two Fridays ago when I was with two friends in town from L.A. Being serious sushi lovers, we sat at the sushi bar to be closer to the action.",sushi bar,0
52,The fried rice is amazing here.,fried rice,1
53,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",mussels,1
54,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",puff pastry goat cheese,1
55,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",salad with a delicious dressing,1
56,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",hanger steak au poivre,1
57,"Three courses - choices include excellent mussels, puff pastry goat cheese and salad with a delicious dressing, and a hanger steak au poivre that is out of this world.",courses,0
58,it's a perfect place to have a amanzing indian food.,indian food,1
59,The place is so cool and the service is prompt and curtious.,service,1
60,The place is so cool and the service is prompt and curtious.,place,1
61,At the end you're left with a mild broth with noodles that you can slurp out of a cup.,broth with noodles,1
62,I just wonder how you can have such a delicious meal for such little money.,meal,1
63,I just wonder how you can have such a delicious meal for such little money.,money,1
65,The wine list is excellent.,wine list,1
66,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,1
67,They wouldnt even let me finish my glass of wine before offering another.,glass of wine,0
68,"Whem asked, we had to ask more detailed questions so that we knew what the specials were.",specials,0
69,This is a consistently great place to dine for lunch or dinner.,lunch,0
70,This is a consistently great place to dine for lunch or dinner.,dinner,0
71,This is a consistently great place to dine for lunch or dinner.,dine,1
72,"Nice atmosphere, the service was very pleasant and the desert was good.",atmosphere,1
73,"Nice atmosphere, the service was very pleasant and the desert was good.",service,1
74,"Nice atmosphere, the service was very pleasant and the desert was good.",desert,1
